Delta,Theta,Alpha,Beta,Gamma,Emotion
1795019711.9210136,4112741241.7141304,7384905428.916177,2823891253.666977,314843685.8,Sad
2005885948.9412353,3757160498.5040245,9731509207,2071842920.1558952,314283812.97230166,Sad
3868761531.9124117,3258987716,9917206624,1810273685.3645644,306617765.11196595,Sad
3430001964,5183799655.6297865,8660722441.247938,2090616575.7363386,281483826.41111696,Sad
7272465359.341705,4815253711.704491,7461059007.114706,1786742982.9606416,260609168.48656425,Sad
2334430704.0618324,4200667326.5436068,10413149879.862494,1929133644.3346725,303462715.39677685,Sad
4436509754.962549,4175422890.539049,7868974725.519742,2118539385.8318017,303098099.4924801,Sad
2143252281.6559346,3613380343.5117683,9922839252.885181,2082050645.1041377,324212416.7,Sad
1935414912.8843029,2314559570.5759573,10978451931.555258,2058595645.4443471,316831608.3016961,Sad
2292186.7124466444,356757.1363199627,293770.9422880246,1453087.1427877287,121651.33506340458,Sad
3195544838.269889,4402492456.466682,10220216728.166597,1901487292.6896842,282904090.8,Sad
3353208453.8599386,4738641853.014542,9950384104,1703500192.1558099,280742069.5178415,Sad
1932497439.2082603,4242744937.2125225,9015519000,2422355771.551842,279784483.90823156,Sad
1970069458.3663764,1915294757.7567675,9381528273.276262,2596209476.8098574,297422485.4586217,Sad
1278804601.9088604,2093803559.6665516,11827290218.603745,2161619428.5401225,287384207.61603296,Sad
13710051.840379622,355039.8205549187,236236.25223395805,1307234.141137046,127258.73530370752,Sad
1003354.5009633483,288182.4569069315,118888.25301667555,1285711.3579159454,116220.39194808158,Sad
9388981.010315415,1002581.8721690702,280588.0579601687,1234014.8607024911,122331.42169102024,Sad
1961816.5194344067,293492.90344523237,259870.95291607597,1234748.221830629,117980.18985398924,Sad
28781677.21033893,845839.8354574555,510443.2292085032,888201.2178496041,114482.6126038514,Sad
148022567.90797183,3284862.468,860786.7557027881,672078.1958362294,110853.00585645213,Sad
